spec,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,model_id,model_id_cqa,model_make_id_cqa,model_name_cqa,model_trim_cqa,model_year_cqa,model_body_cqa,model_engine_position_cqa,model_engine_cc_cqa,model_engine_cyl_cqa,model_engine_type_cqa,model_engine_valves_per_cyl_cqa,model_engine_power_ps_cqa,model_engine_power_rpm_cqa,model_engine_torque_nm_cqa,model_engine_torque_rpm_cqa,model_engine_bore_mm_cqa,model_engine_stroke_mm_cqa,model_engine_compression_cqa,model_engine_fuel_cqa,model_top_speed_kph_cqa,model_0_to_100_kph_cqa,model_drive_cqa,model_transmission_type_cqa,model_seats_cqa,model_doors_cqa,model_weight_kg_cqa,model_length_mm_cqa,model_width_mm_cqa,model_height_mm_cqa,model_wheelbase_mm_cqa,model_lkm_hwy_cqa,model_lkm_mixed_cqa,model_lkm_city_cqa,model_fuel_cap_l_cqa,model_sold_in_us_cqa,model_co2_cqa,model_make_display_cqa,model_engine_l_cqa,model_engine_ci_cqa,model_engine_bore_in_cqa,model_engine_stroke_in_cqa,model_engine_valves_cqa,model_engine_power_hp_cqa,model_engine_power_kw_cqa,model_engine_torque_lbft_cqa,model_engine_torque_kgm_cqa,model_top_speed_mph_cqa,model_weight_lbs_cqa,model_length_in_cqa,model_width_in_cqa,model_height_in_cqa,model_wheelbase_in_cqa,model_mpg_hwy_cqa,model_mpg_city_cqa,model_mpg_mixed_cqa,model_fuel_cap_g_cqa,make_display_cqa,make_country_cqa,ExtColors_cqa,IntColors_cqa,Model_ID
1.6 JTDm,46.6,57.4,66.0,70.3,71.7,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
1.4 Turbo Multi-Air,42.0,62.3,66.4,68.5,72.9,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
2.0,42.9,57.8,61.0,64.3,66.2,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
2.1d,43.9,53.8,58.3,61.7,67.6,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
 ,43.9,54.8,61.5,65.5,67.1,68.8,44344.0,44344.0,alpina,B7,xDrive,2011.0,Sedan,Front,4400.0,8.0,V,4.0,507.0,5500.0,699.0,3000.0,,,,Gasoline,,,AWD,Automatic,5.0,4.0,2140.0,5085.0,1902.0,1483.0,3071.0,11.8,,16.8,82.0,1.0,,Alpina,4.4,269.0,,,32.0,500.0,373.0,516.0,71.0,,4718.0,200.2,74.9,58.4,120.9,20.0,14.0,,21.7,Alpina,UK,,,31
5.9 V12,52.2,58.1,62.2,63.1,68.6,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
1.4 TFSI S tronic,39.4,62.2,64.4,66.8,69.1,71.9,46390.0,46390.0,audi,A1,1.2,2010.0,Hatchback,Front,1197.0,4.0,in-line,,86.0,4800.0,160.0,1500.0,,,,Gasoline,180.0,11.7,Front,Manual,4.0,3.0,1040.0,3954.0,1740.0,1416.0,2469.0,,,,34.0,0.0,,Audi,1.2,73.0,,,,85.0,63.0,118.0,16.0,112.0,2293.0,155.7,68.5,55.7,97.2,,,,9.0,Audi,Germany,,,33
1.4,38.2,59.1,63.3,66.1,69.1,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
1.0,39.1,53.1,59.8,68.3,70.7,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
1.6 TDI,46.9,56.0,62.0,67.3,69.7,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
2.0 TFSI Cabrio,46.1,62.0,63.0,65.0,68.0,68.2,2979.0,2979.0,audi,A3,2.0 FSi Ambition,2008.0,Hatchback,Front,1984.0,4.0,in-line,4.0,,,200.0,3500.0,82.5,92.8,11.5:1,Gasoline,211.0,9.1,Front,Manual,5.0,3.0,1278.0,4210.0,1770.0,1430.0,2580.0,,6.9,,55.0,1.0,,Audi,2.0,121.0,3.25,3.65,16.0,,,148.0,20.0,131.0,2817.0,165.7,69.7,56.3,101.6,,,34.0,14.5,Audi,Germany,,,37
1.4 TFSI S-Tronic,45.0,55.4,63.7,68.6,69.2,70.2,1862.0,1862.0,audi,A3,1.4 TFSi,2009.0,Hatchback,Front,1390.0,4.0,in-line,4.0,125.0,6000.0,200.0,1500.0,,,12.5:1,Gasoline - Premium,203.0,9.3,Front,Manual,5.0,3.0,1302.0,4250.0,1770.0,1430.0,2580.0,,5.6,,55.0,1.0,,Audi,1.4,85.0,,,16.0,123.0,92.0,148.0,20.0,126.0,2870.0,167.3,69.7,56.3,101.6,,,42.0,14.5,Audi,Germany,,,38
1.2 TSI Cabrio,39.9,60.3,65.5,67.8,70.9,72.9,44371.0,44371.0,audi,A3,2.0 TDI Premium,2010.0,Hatchback,Front,2000.0,4.0,in-line,4.0,142.0,4200.0,320.0,1750.0,,,,Diesel,,,Front,Manual,5.0,5.0,,4293.0,1765.0,1422.0,2578.0,5.6,,7.8,55.0,1.0,,Audi,2.0,122.0,,,16.0,140.0,104.0,236.0,33.0,,,169.0,69.5,56.0,101.5,42.0,30.0,,14.5,Audi,Germany,,,39
1.4 TFSI Stationcar,36.6,61.5,65.0,66.5,68.0,69.9,44370.0,44370.0,audi,A3,2.0T PZEV Premium,2010.0,Hatchback,Front,2000.0,4.0,in-line,4.0,203.0,5100.0,280.0,1800.0,,,,Gasoline,,,Front,Manual,5.0,5.0,1460.0,4293.0,1765.0,1422.0,2578.0,7.8,,11.2,60.0,1.0,,Audi,2.0,122.0,,,16.0,200.0,149.0,207.0,29.0,,3219.0,169.0,69.5,56.0,101.5,30.0,21.0,,15.9,Audi,Germany,,,40
1.2 TFSI Stationcar,37.1,58.5,64.0,65.4,68.3,71.6,53546.0,53546.0,audi,A3,1.2 TFSi Automatic,2011.0,Hatchback,Front,1200.0,4.0,in-line,,105.0,,,,,,,Gasoline,,,Front,Automatic,5.0,3.0,,,,,,,,,,0.0,,Audi,1.2,73.0,,,,104.0,77.0,,,,,,,,,,,,,Audi,Germany,,,41
1.4 TFSI,38.2,57.6,61.4,62.5,65.1,68.1,50722.0,50722.0,audi,A3,1.4 TFSi,2012.0,Hatchback,Front,1400.0,4.0,in-line,,125.0,,,,,,,Gasoline,,,Front,Manual,5.0,3.0,,,,,,,,,,0.0,,Audi,1.4,85.0,,,,123.0,92.0,,,,,,,,,,,,,Audi,Germany,,,42
1.8 TFSI,44.5,58.0,62.7,65.9,68.7,70.7,50725.0,50725.0,audi,A3,1.8 TFSi,2012.0,Hatchback,Front,1800.0,4.0,in-line,,160.0,,,,,,,Gasoline,,,Front,Manual,5.0,3.0,,,,,,,,,,0.0,,Audi,1.8,110.0,,,,158.0,118.0,,,,,,,,,,,,,Audi,Germany,,,43
1.8 Stationcar,47.2,58.2,61.2,65.2,67.9,70.6,58394.0,58394.0,audi,A3,2.0 TDI Premium,2013.0,Sedan,Front ,1984.0,4.0,W,4.0,140.0,,320.0,2500.0,81.0,95.5,16.5:1,Gasoline - Premium,209.0,,AWD,CVT,5.0,4.0,1505.0,4292.0,1995.0,1423.0,2578.0,4.7,,6.7,,1.0,,Audi,2.0,121.0,3.19,3.76,16.0,138.0,103.0,236.0,33.0,130.0,3318.0,169.0,78.5,56.0,101.5,50.0,35.0,,,Audi,Germany,,,44
2.0 TDI,43.0,53.0,60.9,63.5,66.3,69.5,58394.0,58394.0,audi,A3,2.0 TDI Premium,2013.0,Sedan,Front ,1984.0,4.0,W,4.0,140.0,,320.0,2500.0,81.0,95.5,16.5:1,Gasoline - Premium,209.0,,AWD,CVT,5.0,4.0,1505.0,4292.0,1995.0,1423.0,2578.0,4.7,,6.7,,1.0,,Audi,2.0,121.0,3.19,3.76,16.0,138.0,103.0,236.0,33.0,130.0,3318.0,169.0,78.5,56.0,101.5,50.0,35.0,,,Audi,Germany,,,45
2.0,40.4,51.7,58.6,62.5,64.9,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
