spec,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,model_id,model_id_cqa,model_make_id_cqa,model_name_cqa,model_trim_cqa,model_year_cqa,model_body_cqa,model_engine_position_cqa,model_engine_cc_cqa,model_engine_cyl_cqa,model_engine_type_cqa,model_engine_valves_per_cyl_cqa,model_engine_power_ps_cqa,model_engine_power_rpm_cqa,model_engine_torque_nm_cqa,model_engine_torque_rpm_cqa,model_engine_bore_mm_cqa,model_engine_stroke_mm_cqa,model_engine_compression_cqa,model_engine_fuel_cqa,model_top_speed_kph_cqa,model_0_to_100_kph_cqa,model_drive_cqa,model_transmission_type_cqa,model_seats_cqa,model_doors_cqa,model_weight_kg_cqa,model_length_mm_cqa,model_width_mm_cqa,model_height_mm_cqa,model_wheelbase_mm_cqa,model_lkm_hwy_cqa,model_lkm_mixed_cqa,model_lkm_city_cqa,model_fuel_cap_l_cqa,model_sold_in_us_cqa,model_co2_cqa,model_make_display_cqa,model_engine_l_cqa,model_engine_ci_cqa,model_engine_bore_in_cqa,model_engine_stroke_in_cqa,model_engine_valves_cqa,model_engine_power_hp_cqa,model_engine_power_kw_cqa,model_engine_torque_lbft_cqa,model_engine_torque_kgm_cqa,model_top_speed_mph_cqa,model_weight_lbs_cqa,model_length_in_cqa,model_width_in_cqa,model_height_in_cqa,model_wheelbase_in_cqa,model_mpg_hwy_cqa,model_mpg_city_cqa,model_mpg_mixed_cqa,model_fuel_cap_g_cqa,make_display_cqa,make_country_cqa,ExtColors_cqa,IntColors_cqa,Model_ID
xDrive 28i,42.9,59.2,62.6,65.9,68.6,70.3,61281.0,61281.0,BMW,X1,sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A),2015.0,Sport Utility Vehicles,Front,2000.0,4.0,Inline,4.0,240.0,,260.0,,,,10,Premium Unleaded (Required),,,Rear Wheel Drive,Automatic,,4.0,3527.0,,,,,34.0,27.0,23.0,17.0,1.0,,BMW,2.0,122.0,,,16.0,237.0,177.0,192.0,27.0,,7776.0,,,,,7.0,10.0,9.0,4.5,BMW,Germany,,,290
xDrive 20d,45.1,58.2,61.7,65.3,67.3,70.7,66536.0,66536.0,BMW,X1,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A),2016.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,300.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,3891.0,,,,,27.0,21.0,18.0,17.0,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,221.0,31.0,,8578.0,,,,,9.0,13.0,11.0,4.5,BMW,Germany,,,291
sDrive18i,43.9,56.8,60.5,64.3,66.2,69.6,69106.0,69106.0,BMW,X1,sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A),2017.0,Sport Utility Vehicles,Front,2000.0,4.0,Inline,4.0,240.0,,260.0,,,,10,Premium Unleaded (Required),,,Rear Wheel Drive,Automatic,,4.0,3527.0,,,,,34.0,27.0,23.0,17.0,1.0,,BMW,2.0,122.0,,,16.0,237.0,177.0,192.0,27.0,,7776.0,,,,,7.0,10.0,9.0,4.5,BMW,Germany,,,292
sDrive18d,45.1,55.1,60.8,66.3,68.7,70.8,71680.0,71680.0,BMW,X1,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A),2018.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,300.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,3891.0,,,,,27.0,21.0,18.0,17.0,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,221.0,31.0,,8578.0,,,,,9.0,13.0,11.0,4.5,BMW,Germany,,,293
xDrive 30i,42.2,51.9,59.7,64.5,64.9,65.6,5451.0,5451.0,bmw,X3,3.0si Exclusive Automatic,2008.0,SUV,Front,2979.0,6.0,in-line,4.0,231.0,5900.0,300.0,3500.0,84.0,89.6,10.2:1,Gasoline,210.0,10.0,Rear,Automatic,5.0,5.0,1765.0,4580.0,1860.0,1680.0,2800.0,,14.6,,67.0,1.0,,BMW,3.0,182.0,3.31,3.53,24.0,228.0,170.0,221.0,31.0,130.0,3891.0,180.3,73.2,66.1,110.2,,,16.0,17.7,BMW,Germany,,,294
xDrive 35d,41.8,57.1,61.3,64.6,68.1,70.2,5139.0,5139.0,bmw,X3,3.0i Steptronic,2008.0,SUV,Front,2979.0,,,4.0,231.0,5900.0,300.0,3500.0,89.6,84.0,10.2:1,Gasoline,210.0,8.1,4WD,Automatic,5.0,5.0,1765.0,4570.0,1860.0,1680.0,2800.0,9.4,12.1,,67.0,1.0,,BMW,3.0,182.0,3.53,3.31,,228.0,170.0,221.0,31.0,130.0,3891.0,179.9,73.2,66.1,110.2,25.0,,19.0,17.7,BMW,Germany,,,295
xDrive 20d,46.2,58.2,62.1,65.3,69.1,72.4,50848.0,50848.0,bmw,X3,xDrive20d,2011.0,SUV,Front,1995.0,4.0,in-line,4.0,185.0,4000.0,380.0,1750.0,90.0,84.0,,Diesel,209.0,8.5,AWD,,5.0,5.0,1790.0,4648.0,1881.0,1675.0,2810.0,5.3,5.6,6.1,67.0,0.0,,BMW,2.0,122.0,3.54,3.31,16.0,182.0,136.0,280.0,39.0,130.0,3946.0,183.0,74.1,65.9,110.6,44.0,39.0,42.0,17.7,BMW,Germany,,,296
xDrive 35i,44.0,54.1,60.5,63.3,67.7,72.1,44498.0,44498.0,bmw,X3,xDrive35i,2011.0,SUV,Front,3000.0,6.0,in-line,4.0,304.0,5800.0,406.0,1200.0,,,,Gasoline,,,AWD,Automatic,5.0,5.0,1915.0,4648.0,1882.0,1661.0,2807.0,9.0,,12.4,67.0,1.0,,BMW,3.0,183.0,,,24.0,300.0,224.0,299.0,41.0,,4222.0,183.0,74.1,65.4,110.5,26.0,19.0,,17.7,BMW,Germany,,,297
xDrive 20d,41.2,57.2,60.6,63.8,66.6,68.3,58961.0,58961.0,BMW,X3,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),2014.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,300.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,1915.0,4648.0,,,,26.0,21.0,19.0,67.0,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,221.0,31.0,,4222.0,183.0,,,,9.0,12.0,11.0,17.7,BMW,Germany,,,298
xDrive 20d,48.1,61.2,62.8,64.3,65.3,68.7,66593.0,66593.0,BMW,X3,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),2016.0,Sport Utility Vehicles,Front,2000.0,4.0,Inline,4.0,240.0,,260.0,,,,10,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4150.0,,,,,28.0,24.0,21.0,18.0,1.0,,BMW,2.0,122.0,,,16.0,237.0,177.0,192.0,27.0,,9149.0,,,,,8.0,11.0,10.0,4.8,BMW,Germany,,,299
xDrive 35d,45.9,56.8,60.0,63.3,65.2,68.6,66593.0,66593.0,BMW,X3,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),2016.0,Sport Utility Vehicles,Front,2000.0,4.0,Inline,4.0,240.0,,260.0,,,,10,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4150.0,,,,,28.0,24.0,21.0,18.0,1.0,,BMW,2.0,122.0,,,16.0,237.0,177.0,192.0,27.0,,9149.0,,,,,8.0,11.0,10.0,4.8,BMW,Germany,,,300
xDrive20d,48.9,57.8,61.0,64.3,68.2,71.7,69164.0,69164.0,BMW,X3,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),2017.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,300.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4230.0,,,,,26.0,21.0,19.0,18.0,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,221.0,31.0,,9325.0,,,,,9.0,12.0,11.0,4.8,BMW,Germany,,,301
xDrive20d,42.1,52.1,57.8,63.3,65.7,67.8,71737.0,71737.0,BMW,X3,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),2018.0,Sport Utility Vehicles,Front,2000.0,4.0,Inline,4.0,240.0,,260.0,,,,10,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4150.0,,,,,28.0,24.0,21.0,18.0,1.0,,BMW,2.0,122.0,,,16.0,237.0,177.0,192.0,27.0,,9149.0,,,,,8.0,11.0,10.0,4.8,BMW,Germany,,,302
xDrive 35d,41.6,57.4,60.7,63.9,66.7,68.4,58963.0,58963.0,BMW,X4,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),2014.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,300.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,,4648.0,,,,,,,,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,221.0,31.0,,,183.0,,,,,,,,BMW,Germany,,,303
xDrive 35i,41.3,56.3,61.8,64.9,67.9,71.2,60947.0,60947.0,BMW,X4,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),2015.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,300.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4260.0,,,,,,,,18.0,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,221.0,31.0,,9392.0,,,,,,,,4.8,BMW,Germany,,,304
xDrive 30d,47.9,57.8,60.5,63.3,65.2,68.6,66617.0,66617.0,BMW,X4,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),2016.0,Sport Utility Vehicles,Front,2000.0,4.0,Inline,4.0,240.0,,260.0,,,,10,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4130.0,,,,,,,,18.0,1.0,,BMW,2.0,122.0,,,16.0,237.0,177.0,192.0,27.0,,9105.0,,,,,,,,4.8,BMW,Germany,,,305
xDrive20d,44.9,54.0,59.5,64.3,66.7,68.8,71761.0,71761.0,BMW,X4,xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),2018.0,Sport Utility Vehicles,Front,2000.0,4.0,Inline,4.0,240.0,,260.0,,,,10,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4130.0,,,,,,,,18.0,1.0,,BMW,2.0,122.0,,,16.0,237.0,177.0,192.0,27.0,,9105.0,,,,,,,,4.8,BMW,Germany,,,306
M,43.0,51.9,57.6,59.9,64.7,69.5,44507.0,44507.0,bmw,X5,M,2010.0,SUV,Front,4400.0,8.0,V,4.0,563.0,6000.0,677.0,1500.0,,,,Gasoline,,,AWD,Automatic,5.0,5.0,2435.0,4851.0,1994.0,1763.0,2934.0,13.8,,19.6,85.0,1.0,,BMW,4.4,269.0,,,32.0,555.0,414.0,499.0,69.0,,5368.0,191.0,78.5,69.4,115.5,17.0,12.0,,22.5,BMW,Germany,,,307
xDrive 30d,44.3,54.6,62.7,65.1,68.3,71.9,50806.0,50806.0,bmw,X5,xDrive30d,2010.0,SUV,Front,2993.0,6.0,in-line,4.0,247.0,4000.0,540.0,1750.0,90.0,84.0,,Diesel,209.0,7.6,AWD,Automatic,5.0,5.0,2150.0,4857.0,1933.0,1776.0,2934.0,6.7,7.4,8.7,85.0,0.0,,BMW,3.0,183.0,3.54,3.31,24.0,244.0,182.0,398.0,55.0,130.0,4740.0,191.2,76.1,69.9,115.5,35.0,27.0,32.0,22.5,BMW,Germany,,,308
xDrive 30d,43.2,55.5,60.1,63.3,66.6,70.2,50921.0,50921.0,bmw,X5,xDrive30d,2012.0,SUV,Front,2993.0,6.0,in-line,4.0,247.0,4000.0,540.0,1750.0,90.0,84.0,,Diesel,209.0,7.6,AWD,Automatic,5.0,5.0,2150.0,4857.0,1933.0,1776.0,2933.0,6.7,7.4,8.7,85.0,0.0,,BMW,3.0,183.0,3.54,3.31,24.0,244.0,182.0,398.0,55.0,130.0,4740.0,191.2,76.1,69.9,115.5,35.0,27.0,32.0,22.5,BMW,Germany,,,309
xDrive 30d,42.6,52.5,60.4,63.4,65.7,68.2,50921.0,50921.0,bmw,X5,xDrive30d,2012.0,SUV,Front,2993.0,6.0,in-line,4.0,247.0,4000.0,540.0,1750.0,90.0,84.0,,Diesel,209.0,7.6,AWD,Automatic,5.0,5.0,2150.0,4857.0,1933.0,1776.0,2933.0,6.7,7.4,8.7,85.0,0.0,,BMW,3.0,183.0,3.54,3.31,24.0,244.0,182.0,398.0,55.0,130.0,4740.0,191.2,76.1,69.9,115.5,35.0,27.0,32.0,22.5,BMW,Germany,,,310
xDrive 30d,41.4,56.3,58.0,60.8,64.6,68.2,57687.0,57687.0,bmw,X5,xDrive35d,2013.0,SUV,Front,2993.0,6.0,in-line,4.0,265.0,4200.0,576.0,2250.0,84.0,90.0,17,Diesel,,,AWD,6-speed automatic,5.0,5.0,2355.0,4857.0,2197.0,1776.0,2933.0,7.6,,10.9,85.0,1.0,,BMW,3.0,183.0,3.31,3.54,24.0,261.0,195.0,425.0,59.0,,5192.0,191.2,86.5,69.9,115.5,31.0,22.0,,22.5,BMW,Germany,,,311
3.0 V6,40.3,50.7,57.2,60.5,63.5,66.5,58964.0,58964.0,BMW,X5,xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 8A),2014.0,Sport Utility Vehicles,Front,4400.0,8.0,V,4.0,445.0,,479.0,,,,10,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,2336.0,4907.0,,,,22.0,17.0,14.0,85.0,1.0,,BMW,4.4,269.0,,,32.0,439.0,327.0,353.0,49.0,,5150.0,193.2,,,,11.0,17.0,14.0,22.5,BMW,Germany,,,312
xDrive 30d,41.6,56.2,60.1,63.9,65.7,67.3,58966.0,58966.0,BMW,X5,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),2014.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,295.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,2173.0,4907.0,,,,27.0,21.0,18.0,85.0,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,218.0,30.0,,4791.0,193.2,,,,9.0,13.0,11.0,22.5,BMW,Germany,,,313
xDrive 50i,46.1,55.2,58.2,61.2,64.4,67.7,58966.0,58966.0,BMW,X5,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),2014.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,295.0,,,,10.2,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,2173.0,4907.0,,,,27.0,21.0,18.0,85.0,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,218.0,30.0,,4791.0,193.2,,,,9.0,13.0,11.0,22.5,BMW,Germany,,,314
xDrive 30d,41.6,56.2,60.1,63.9,67.6,69.3,62228.0,62228.0,BMW,X5,xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 8A),2015.0,Sport Utility Vehicles,Front,4400.0,8.0,V,4.0,445.0,,480.0,,,,Not Avai,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,,,,,,22.0,17.0,14.0,,1.0,,BMW,4.4,269.0,,,32.0,439.0,327.0,354.0,49.0,,,,,,,11.0,17.0,14.0,,BMW,Germany,,,315
xDrive40e,36.5,51.6,56.9,60.9,64.8,66.9,67465.0,67465.0,BMW,X5,xDrive35d 4dr SUV AWD (3.0L 6cyl Turbodiesel 8A),2016.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,255.0,,413.0,,,,Not Avai,Diesel,,,All Wheel Drive,Automatic,,4.0,,,,,,31.0,26.0,23.0,,1.0,,BMW,3.0,183.0,,,24.0,252.0,188.0,305.0,42.0,,,,,,,8.0,10.0,9.0,,BMW,Germany,,,316
xDrive 35i,42.2,54.4,62.0,66.3,68.4,70.6,5738.0,5738.0,bmw,X6,Sports Activity Coupe,2008.0,SUV,Front,4399.0,8.0,V,,406.0,5500.0,827.0,1800.0,,,,Gasoline,250.0,,4WD,Automatic,5.0,5.0,2200.0,,1830.0,,,,,,,1.0,,BMW,4.4,268.0,,,,400.0,299.0,610.0,84.0,155.0,4850.0,,72.0,,,,,,,BMW,Germany,,,317
xDrive 35d,46.4,57.6,61.4,64.5,67.4,70.3,4715.0,4715.0,bmw,X6,xDrive 35d,2009.0,SUV,Front,2996.0,6.0,in-line,4.0,286.0,4400.0,580.0,1750.0,84.0,90.0,17.0:1,Diesel,236.0,6.9,4WD,Automatic,4.0,5.0,2185.0,4880.0,1990.0,1700.0,2940.0,,8.3,,85.0,1.0,,BMW,3.0,183.0,3.31,3.54,24.0,282.0,210.0,428.0,59.0,147.0,4817.0,192.1,78.3,66.9,115.7,,,28.0,22.5,BMW,Germany,,,318
xDrive 35i,45.3,56.1,62.7,66.3,68.9,71.6,68150.0,68150.0,BMW,X6,xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A),2016.0,Sport Utility Vehicles,Front,3000.0,6.0,Inline,4.0,300.0,,300.0,,,,Not Avai,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4750.0,,,,,27.0,21.0,18.0,,1.0,,BMW,3.0,183.0,,,24.0,296.0,221.0,221.0,31.0,,10472.0,,,,,9.0,13.0,11.0,,BMW,Germany,,,319
sDrive 35i,48.4,58.4,64.7,67.9,70.9,74.0,5734.0,5734.0,bmw,Z4,3.0i,2009.0,Convertible,Front,2979.0,6.0,in-line,4.0,340.0,7900.0,315.0,2750.0,,,,Gasoline,250.0,6.2,Rear,Manual,2.0,2.0,1525.0,4100.0,1790.0,1310.0,2500.0,,9.1,,55.0,1.0,,BMW,3.0,182.0,,,24.0,335.0,250.0,232.0,32.0,155.0,3362.0,161.4,70.5,51.6,98.4,,,26.0,14.5,BMW,Germany,,,320
sDrive 35is,48.9,59.3,65.8,69.1,72.2,75.3,44521.0,44521.0,bmw,Z4,sDrive35is,2011.0,Convertible,Front,3000.0,6.0,in-line,4.0,340.0,5900.0,450.0,1500.0,,,,Gasoline,,,Rear,Manual,2.0,2.0,1610.0,4242.0,1791.0,1285.0,2497.0,9.8,,13.8,55.0,1.0,,BMW,3.0,183.0,,,24.0,335.0,250.0,332.0,46.0,,3549.0,167.0,70.5,50.6,98.3,24.0,17.0,,14.5,BMW,Germany,,,321
1.6 cabrio,44.2,57.0,64.7,69.6,70.5,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322
3.6 V6,44.3,55.5,62.4,66.3,68.4,70.4,6162.0,6162.0,buick,Enclave,,2008.0,SUV,Front,3600.0,6.0,V,2.0,279.0,6600.0,340.0,3200.0,94.0,86.0,10.2:1,Gasoline,,,Front,Automatic,8.0,5.0,1860.0,5120.0,2010.0,1850.0,3030.0,,10.2,,64.0,1.0,,Buick,3.6,220.0,3.7,3.39,12.0,275.0,205.0,251.0,35.0,,4101.0,201.6,79.1,72.8,119.3,,,23.0,16.9,Buick,USA,,,323
3.6 V6,43.1,52.7,58.7,62.0,64.1,66.2,48726.0,48726.0,buick,Enclave,Leather Package,2012.0,SUV,Front,3600.0,6.0,V,4.0,292.0,6300.0,366.0,3400.0,,,,Gasoline,,,Front,6-speed shiftable automatic,5.0,5.0,2168.0,5126.0,2007.0,1842.0,3020.0,9.8,,13.8,83.0,1.0,,Buick,3.6,220.0,,,24.0,288.0,215.0,270.0,37.0,,4780.0,201.8,79.0,72.5,118.9,24.0,17.0,,21.9,Buick,USA,,,324
3.6 V6,41.9,52.0,58.3,61.8,63.9,66.0,67095.0,67095.0,Buick,Enclave,Leather Group 4dr SUV (3.6L 6cyl 6A),2016.0,Sport Utility Vehicles,Front,3600.0,6.0,V,4.0,288.0,,270.0,,,,11.3,Regular Unleaded,,,Front Wheel Driv,Automatic,,4.0,4724.0,,,,,24.0,19.0,17.0,22.0,1.0,,Buick,3.6,220.0,,,24.0,284.0,212.0,199.0,28.0,,10415.0,,,,,10.0,14.0,12.0,5.8,Buick,USA,,,325
CXS,44.9,56.3,63.4,67.1,70.1,73.2,44530.0,44530.0,buick,LaCrosse,CXS,2010.0,Sedan,Front,3600.0,6.0,V,4.0,284.0,6300.0,351.0,4800.0,,,,Gasoline,,,Front,Automatic,5.0,4.0,1853.0,5001.0,1857.0,1504.0,2837.0,9.0,,13.8,70.0,1.0,,Buick,3.6,220.0,,,24.0,280.0,209.0,259.0,36.0,,4085.0,196.9,73.1,59.2,111.7,26.0,17.0,,18.5,Buick,USA,,,326
3.6 V6,41.4,50.7,56.6,59.4,62.7,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327
CXL 2.4,44.5,54.9,61.3,64.9,67.0,69.1,44547.0,44547.0,buick,Regal,CXL,2011.0,Sedan,Front,2400.0,4.0,in-line,4.0,185.0,6700.0,233.0,4900.0,,,,Gasoline,,,Front,Automatic,5.0,4.0,1633.0,4831.0,1857.0,1483.0,2738.0,7.8,,12.4,68.0,1.0,,Buick,2.4,146.0,,,16.0,182.0,136.0,172.0,24.0,,3600.0,190.2,73.1,58.4,107.8,30.0,19.0,,18.0,Buick,USA,,,328
2.4,44.0,54.5,60.8,64.7,65.9,67.2,48742.0,48742.0,buick,Verano,,2012.0,Sedan,Front,2400.0,4.0,in-line,4.0,183.0,6700.0,232.0,4900.0,,,,Flex Fuel,,,Front,6-speed shiftable automatic,5.0,4.0,1497.0,4671.0,1816.0,1483.0,2685.0,7.6,,10.7,57.0,1.0,,Buick,2.4,146.0,,,16.0,180.0,135.0,171.0,24.0,,3300.0,183.9,71.5,58.4,105.7,31.0,22.0,,15.1,Buick,USA,,,329
Turbo,41.2,51.3,57.6,61.0,63.5,66.0,48743.0,48743.0,buick,Verano,Convenience Package,2012.0,Sedan,Front,2400.0,4.0,in-line,4.0,183.0,6700.0,232.0,4900.0,,,,Flex Fuel,,,Front,6-speed shiftable automatic,5.0,4.0,1497.0,4671.0,1816.0,1483.0,2685.0,7.6,,10.7,57.0,1.0,,Buick,2.4,146.0,,,16.0,180.0,135.0,171.0,24.0,,3300.0,183.9,71.5,58.4,105.7,31.0,22.0,,15.1,Buick,USA,,,330
Turbo,41.7,53.6,61.0,65.0,67.6,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331
2.0,44.0,54.3,60.7,64.4,66.0,67.6,57695.0,57695.0,cadillac,ATS,Sedan 2.5L Luxury,2013.0,Sedan,Front,2500.0,4.0,in-line,4.0,202.0,6300.0,258.0,4400.0,88.0,101.0,11.4,Gasoline,,,Rear,6-speed automatic,5.0,4.0,1503.0,4643.0,1806.0,1418.0,2776.0,7.1,,10.7,61.0,1.0,,Cadillac,2.5,153.0,3.46,3.98,16.0,199.0,149.0,190.0,26.0,,3314.0,182.8,71.1,55.8,109.3,33.0,22.0,,16.1,Cadillac,USA,,,332
3.6 V6,45.6,53.8,59.2,61.0,66.5,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333
1.9d Stationcar,43.6,53.7,61.7,65.1,67.2,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334
3.6,40.6,57.5,63.0,64.0,65.5,68.0,6672.0,6672.0,cadillac,CTS,3.2 V6,2008.0,Sedan,Front,3175.0,6.0,V,4.0,218.0,6000.0,300.0,3400.0,,,10.0:1,Gasoline - Premium,233.0,7.4,Rear,Manual,5.0,4.0,1790.0,4830.0,1800.0,1450.0,2890.0,,11.0,,68.0,1.0,,Cadillac,3.2,194.0,,,24.0,215.0,160.0,221.0,31.0,145.0,3946.0,190.2,70.9,57.1,113.8,,,21.0,18.0,Cadillac,USA,,,335
3.6 V6,44.1,55.4,62.7,66.0,70.6,75.2,6421.0,6421.0,cadillac,CTS,3.6L V6,2008.0,Sedan,Front,3564.0,6.0,V,4.0,311.0,6400.0,374.0,5200.0,94.0,85.6,11.3:1,Gasoline - Premium,249.0,6.3,Rear,Manual,5.0,4.0,1794.0,4870.0,1850.0,1470.0,2890.0,,11.1,,68.0,1.0,,Cadillac,3.6,217.0,3.7,3.37,24.0,307.0,229.0,276.0,38.0,155.0,3955.0,191.7,72.8,57.9,113.8,,,21.0,18.0,Cadillac,USA,,,336
Stationcar,42.2,50.7,56.2,58.7,62.0,65.3,44551.0,44551.0,cadillac,CTS,Performance,2010.0,Sedan,Front,3000.0,6.0,V,4.0,274.0,7000.0,302.0,5700.0,,,,Gasoline,,,Rear,Automatic,5.0,4.0,1756.0,4867.0,1842.0,1504.0,2880.0,8.7,,13.1,68.0,1.0,,Cadillac,3.0,183.0,,,24.0,270.0,202.0,223.0,31.0,,3871.0,191.6,72.5,59.2,113.4,27.0,18.0,,18.0,Cadillac,USA,,,337
3.6 Stationcar,40.7,57.1,62.1,65.4,67.3,69.9,51897.0,51897.0,cadillac,CTS,Wagon Luxury,2011.0,Station Wagon,Front,3000.0,6.0,V,4.0,274.0,7000.0,302.0,5700.0,,,,Gasoline,,,Rear,Manual,5.0,5.0,1756.0,4859.0,1842.0,1473.0,2880.0,9.0,,14.7,68.0,1.0,,Cadillac,3.0,183.0,,,24.0,270.0,202.0,223.0,31.0,,3871.0,191.3,72.5,58.0,113.4,26.0,16.0,,18.0,Cadillac,USA,,,338
3.6,42.4,52.2,60.1,64.7,65.3,66.2,52777.0,52777.0,cadillac,CTS,Automatic,2012.0,Sedan,Front,3000.0,6.0,V,4.0,274.0,7000.0,302.0,5700.0,,,,Gasoline,,,Rear,6-speed automatic,5.0,4.0,1748.0,4859.0,1842.0,1473.0,2880.0,9.0,,14.7,68.0,1.0,,Cadillac,3.0,183.0,,,24.0,270.0,202.0,223.0,31.0,,3854.0,191.3,72.5,58.0,113.4,26.0,16.0,,18.0,Cadillac,USA,,,339
3.6 V6,46.7,54.5,59.8,61.2,67.5,73.9,57733.0,57733.0,cadillac,CTS,Sport Wagon 3.6L AWD Premium,2013.0,Station Wagon,Front,3600.0,6.0,V,4.0,318.0,6800.0,373.0,4900.0,94.0,86.0,11.3,Gasoline,,,AWD,6-speed automatic,5.0,4.0,1953.0,4877.0,1842.0,1473.0,2880.0,9.0,10.7,13.0,68.0,1.0,,Cadillac,3.6,220.0,3.7,3.39,24.0,314.0,234.0,275.0,38.0,,4306.0,192.0,72.5,58.0,113.4,26.0,18.0,22.0,18.0,Cadillac,USA,,,340
3.6 V6,42.3,58.2,61.6,64.9,66.6,68.3,62918.0,62918.0,Cadillac,CTS,Premium 4dr Sedan (3.6L 6cyl 8A),2015.0,Midsize Cars,Front,3600.0,6.0,V,4.0,321.0,,275.0,,,,11.5,Flex-Fuel (Unleaded/E85),,,Rear Wheel Drive,Automatic,,4.0,,,,,,29.0,,18.0,,1.0,,Cadillac,3.6,220.0,,,24.0,317.0,236.0,203.0,28.0,,,,,,,8.0,13.0,,,Cadillac,USA,,,341
2.0,44.2,55.1,60.1,62.6,65.1,68.1,68147.0,68147.0,Cadillac,CTS,Performance 4dr Sedan AWD (3.6L 6cyl 6A),2016.0,Midsize Cars,Front,3600.0,6.0,V,4.0,321.0,,275.0,,,,11.5,Flex-Fuel (Unleaded/E85),,,All Wheel Drive,Automatic,,4.0,,,,,,26.0,,18.0,,1.0,,Cadillac,3.6,220.0,,,24.0,317.0,236.0,203.0,28.0,,,,,,,9.0,13.0,,,Cadillac,USA,,,342
