AccelSec ,TopSpeed_KmH ,Range_Km ,Efficiency_WhKm ,FastCharge_KmH ,RapidCharge ,PowerTrain ,PlugType       ,BodyStyle ,Segment ,Seats ,PriceEuro,Model_ID
10.0,150,575,104,540            ,Yes         ,AWD        ,Type 2 CCS     ,Liftback  ,F       ,5,149000,48
9.0,150,335,188,350            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,C       ,5,36057,49
5.7,200,365,237,590            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,79445,50
2.1,410,970,206,920            ,Yes         ,AWD        ,Type 2 CCS     ,Cabrio    ,S       ,4,215000,51
8.5,150,255,176,390            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,B       ,5,35000,52
8.8,160,420,183,560            ,Yes         ,RWD        ,Type 2 CCS     ,SUV       ,C       ,5,40000,53
4.6,250,450,211,490            ,Yes         ,AWD        ,Type 2         ,SUV       ,F       ,7,85990,54
8.3,145,170,168,190            ,Yes         ,RWD        ,Type 2 CCS     ,Hatchback ,B       ,4,35921,55
8.7,150,250,180,380            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,B       ,5,37422,56
12.6,135,130,164,-              ,No          ,RWD        ,Type 2         ,Hatchback ,A       ,4,24790,57
9.7,150,250,180,380            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,C       ,5,40000,58
2.5,261,505,188,550            ,Yes         ,AWD        ,Type 2         ,Liftback  ,F       ,5,96990,59
11.4,135,255,161,230            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,B       ,5,29234,60
3.7,241,410,177,900            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,D       ,7,65620,61
7.6,160,440,198,520            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,C       ,5,50000,62
4.8,200,365,232,340            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,75351,63
7.0,180,450,200,430            ,Yes         ,RWD        ,Type 2 CCS     ,SUV       ,D       ,5,54475,64
4.0,250,425,197,890            ,Yes         ,AWD        ,Type 2 CCS     ,Sedan     ,F       ,4,109302,65
14.0,123,190,200,190            ,Yes         ,FWD        ,Type 1 CHAdeMO ,SPV       ,N       ,7,33246,66
5.0,190,460,261,710            ,Yes         ,AWD        ,Type 2 CCS     ,Pickup    ,N       ,6,55000,67
22.4,130,160,194,-              ,No          ,FWD        ,Type 2         ,SPV       ,N       ,5,38000,68
6.0,180,430,209,410            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,D       ,5,62900,69
6.9,160,230,165,260            ,Yes         ,RWD        ,Type 2 CCS     ,Hatchback ,B       ,4,41526,70
7.0,160,400,193,540            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,C       ,5,45000,71
3.5,250,385,217,770            ,Yes         ,AWD        ,Type 2 CCS     ,Station   ,F       ,4,150000,72
5.5,190,390,244,460            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,64000,73
9.0,140,225,156,270            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,C       ,5,25500,74
9.8,155,235,167,230            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,C       ,5,34400,75
6.3,180,410,188,550            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,D       ,5,57500,76
12.7,130,95,176,-              ,No          ,RWD        ,Type 2         ,Hatchback ,A       ,4,22030,77
6.0,180,340,206,360            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,D       ,5,54000,78
3.2,260,390,215,810            ,Yes         ,AWD        ,Type 2 CCS     ,Sedan     ,F       ,4,148301,79
7.3,160,340,171,470            ,Yes         ,RWD        ,Type 2 CCS     ,Hatchback ,C       ,5,38987,80
2.8,250,440,216,480            ,Yes         ,AWD        ,Type 2         ,SUV       ,F       ,7,102990,81
11.6,130,100,167,-              ,No          ,RWD        ,Type 2         ,Hatchback ,A       ,2,21387,82
6.6,180,360,194,380            ,Yes         ,RWD        ,Type 2 CCS     ,SUV       ,D       ,5,46900,83
10.0,140,330,273,290            ,Yes         ,FWD        ,Type 2 CCS     ,SPV       ,N       ,7,70631,84
9.0,150,250,168,330            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,B       ,4,34900,85
7.0,180,390,256,740            ,Yes         ,RWD        ,Type 2 CCS     ,Pickup    ,N       ,6,45000,86
6.8,190,295,219,470            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,69551,87
6.2,180,400,193,540            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,C       ,5,47500,88
9.0,160,320,181,440            ,Yes         ,RWD        ,Type 2 CCS     ,SUV       ,C       ,5,37500,89
4.5,210,320,270,510            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,93800,90
11.9,130,95,176,-              ,No          ,RWD        ,Type 2         ,Cabrio    ,A       ,2,24565,91
7.9,167,365,175,320            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,B       ,5,36837,92
5.7,200,420,207,500            ,Yes         ,AWD        ,Type 2 CCS     ,Hatchback ,C       ,5,57500,93
9.0,150,250,168,330            ,Yes         ,FWD        ,Type 2 CCS     ,Cabrio    ,B       ,4,37900,94
7.3,160,340,171,470            ,Yes         ,RWD        ,Type 2 CCS     ,Hatchback ,C       ,5,35575,95
9.9,157,230,170,220            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,B       ,5,33133,96
7.5,190,325,222,420            ,Yes         ,RWD        ,Type 2 CCS     ,SUV       ,E       ,5,53500,97
7.5,160,330,191,440            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,C       ,5,45000,98
4.5,210,335,258,540            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,96050,99
5.9,200,325,194,440            ,Yes         ,AWD        ,Type 2 CCS     ,Hatchback ,C       ,5,50000,100
5.1,200,375,232,450            ,Yes         ,AWD        ,Type 2 CCS     ,Hatchback ,C       ,5,65000,101
7.5,190,400,238,480            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,62000,102
